,H_mean,H_mean,S_mean,S_mean,V_mean,V_mean,frac_dark,frac_dark,hist_h_0,hist_h_0,hist_h_2,hist_h_2,hist_h_4,hist_h_4,glcm_contrast,glcm_contrast,glcm_energy,glcm_energy,lbp_var,lbp_var,extent,extent,eccentricity,eccentricity
,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median
rotulo,,,,,,,,,,,,,,,,,,,,,,,,
Broken,20.116,20.339,75.619,72.48,161.779,162.57,0.003,0.0,0.867,0.87,0.0,0.0,0.0,0.0,0.093,0.094,0.424,0.421,5.487,5.566,0.687,0.711,0.79,0.822
Full Black,23.313,21.407,65.366,64.648,83.749,78.788,0.513,0.564,0.866,0.896,0.005,0.0,0.005,0.002,0.108,0.109,0.404,0.355,4.893,5.036,0.74,0.749,0.598,0.612
Full Sour,15.68,15.204,124.34,126.637,145.535,142.037,0.018,0.004,0.987,0.998,0.0,0.0,0.0,0.0,0.119,0.106,0.345,0.332,4.509,4.471,0.754,0.761,0.642,0.647
Immature,19.918,19.956,85.495,87.201,165.019,163.178,0.0,0.0,0.953,0.963,0.0,0.0,0.0,0.0,0.135,0.138,0.384,0.364,5.719,5.687,0.757,0.756,0.461,0.453
Partial Black,16.207,15.887,98.561,96.411,149.045,151.132,0.049,0.017,0.981,0.993,0.0,0.0,0.001,0.0,0.158,0.151,0.225,0.217,4.739,5.0,0.717,0.728,0.628,0.648
Partial Sour,17.178,17.064,107.669,107.039,168.213,171.855,0.009,0.0,0.994,0.999,0.0,0.0,0.0,0.0,0.123,0.116,0.335,0.286,4.495,4.804,0.733,0.737,0.634,0.644
Shell,20.065,20.059,76.276,76.456,171.259,170.183,0.0,0.0,0.906,0.925,0.0,0.0,0.0,0.0,0.113,0.104,0.427,0.405,6.428,6.572,0.693,0.709,0.812,0.836
Slight Insect Damage,18.806,18.988,99.098,99.636,170.947,175.65,0.009,0.006,0.965,0.992,0.0,0.0,0.0,0.0,0.138,0.133,0.359,0.35,5.689,5.592,0.739,0.741,0.638,0.628
